epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1094.86,1.22928,0.5411,0.39622,0.35371,0.1617,0.12209,0.03426,1.09732,0.62802,0.46946,0.00949263,0.00949263,0.00949263
43,1120.73,1.21428,0.5378,0.39753,0.36933,0.18085,0.1494,0.04563,1.02722,0.70874,0.45116,0.00948025,0.00948025,0.00948025
44,1146.41,1.18802,0.56321,0.40297,0.37046,0.19149,0.15047,0.0434,1.0246,0.70973,0.44472,0.00946788,0.00946788,0.00946788
45,1172.14,1.18933,0.56571,0.39178,0.26554,0.11915,0.09375,0.02595,1.10386,0.66586,0.46074,0.0094555,0.0094555,0.0094555
46,1197.87,1.22254,0.5402,0.39674,0.44445,0.17872,0.15713,0.0476,1.07752,0.65438,0.46406,0.00944313,0.00944313,0.00944313
47,1224.08,1.17432,0.57368,0.39512,0.42136,0.18298,0.16335,0.05676,1.02946,0.66943,0.45698,0.00943075,0.00943075,0.00943075
48,1250.58,1.24111,0.52695,0.40869,0.26445,0.12979,0.08671,0.02262,1.17172,0.59457,0.47837,0.00941837,0.00941837,0.00941837
49,1276.71,1.21856,0.55,0.41044,0.45262,0.21816,0.19405,0.06586,1.04747,0.65219,0.47487,0.009406,0.009406,0.009406
50,1303.09,1.22139,0.54373,0.40815,0.38259,0.2,0.17176,0.05059,1.02225,0.69029,0.45905,0.00939363,0.00939363,0.00939363
51,1329.1,1.18502,0.56426,0.39839,0.4116,0.20851,0.17081,0.05512,1.05622,0.6503,0.49194,0.00938125,0.00938125,0.00938125
52,1354.69,1.2071,0.54967,0.40296,0.26701,0.1617,0.11215,0.02935,1.06928,0.66992,0.4547,0.00936888,0.00936888,0.00936888
53,1380.24,1.24495,0.53509,0.40389,0.4667,0.20851,0.18426,0.06265,0.99794,0.69755,0.43628,0.0093565,0.0093565,0.0093565
54,1406.21,1.18968,0.55992,0.38818,0.30499,0.18954,0.12773,0.03708,1.05007,0.68783,0.45544,0.00934413,0.00934413,0.00934413
55,1432.31,1.1845,0.56592,0.38163,0.31991,0.19574,0.16338,0.05004,1.02444,0.69699,0.45462,0.00933175,0.00933175,0.00933175
56,1458.34,1.17565,0.56287,0.38259,0.34011,0.22128,0.17163,0.05682,0.97888,0.73541,0.44188,0.00931937,0.00931937,0.00931937
57,1484.27,1.14853,0.58348,0.37808,0.43435,0.22128,0.19373,0.06754,0.98226,0.69617,0.44687,0.009307,0.009307,0.009307
58,1510.94,1.12027,0.60778,0.36569,0.47358,0.20851,0.20256,0.0682,0.96837,0.71974,0.43567,0.00929462,0.00929462,0.00929462
59,1537.76,1.16043,0.56432,0.37422,0.43856,0.22979,0.19768,0.06638,1.00028,0.66793,0.44018,0.00928225,0.00928225,0.00928225
60,1563.36,1.18571,0.56033,0.38217,0.4085,0.21894,0.17024,0.06015,1.02833,0.66131,0.45784,0.00926988,0.00926988,0.00926988
61,1589.39,1.20657,0.55642,0.38105,0.41075,0.20213,0.17034,0.05583,0.98253,0.72114,0.43105,0.0092575,0.0092575,0.0092575
62,1615.57,1.14148,0.57877,0.37038,0.39879,0.19787,0.16723,0.05404,1.05584,0.641,0.46294,0.00924512,0.00924512,0.00924512
63,1641.66,1.16482,0.55541,0.37132,0.35089,0.17021,0.14205,0.04434,1.03694,0.6897,0.46379,0.00923275,0.00923275,0.00923275
64,1667.45,1.12441,0.5988,0.36415,0.40998,0.22766,0.18928,0.06047,0.96173,0.74249,0.44167,0.00922038,0.00922038,0.00922038
65,1693.34,1.11051,0.60515,0.35811,0.37213,0.2,0.176,0.0572,1.01933,0.71203,0.46163,0.009208,0.009208,0.009208
66,1719.28,1.18049,0.55908,0.3602,0.32931,0.15253,0.11155,0.03314,1.07618,0.6582,0.46608,0.00919562,0.00919562,0.00919562
67,1744.87,1.15621,0.55772,0.36827,0.44798,0.21702,0.17527,0.05786,0.99998,0.67903,0.43019,0.00918325,0.00918325,0.00918325
68,1771.02,1.13579,0.57502,0.35748,0.43372,0.25106,0.2185,0.07574,0.94761,0.72006,0.42735,0.00917088,0.00917088,0.00917088
69,1797.83,1.12979,0.58218,0.34804,0.45132,0.22402,0.2036,0.07213,1.00362,0.66005,0.45355,0.0091585,0.0091585,0.0091585
70,1823.52,1.09526,0.60013,0.3458,0.33476,0.18085,0.14891,0.04376,1.05841,0.651,0.44262,0.00914613,0.00914613,0.00914613
71,1849.27,1.11054,0.58835,0.35133,0.49088,0.25957,0.23983,0.07867,0.97053,0.68263,0.43396,0.00913375,0.00913375,0.00913375
72,1875.71,1.07947,0.60158,0.33827,0.43455,0.25018,0.22729,0.07301,0.96888,0.71048,0.41015,0.00912138,0.00912138,0.00912138
73,1901.99,1.09162,0.60574,0.33555,0.35821,0.18298,0.16249,0.04732,1.02518,0.68322,0.42994,0.009109,0.009109,0.009109
74,1928.35,1.07978,0.59804,0.33385,0.52439,0.2383,0.23165,0.08191,0.95425,0.69159,0.423,0.00909662,0.00909662,0.00909662
75,1955.09,1.09596,0.59353,0.33284,0.51223,0.22766,0.22145,0.07802,0.94275,0.72241,0.42141,0.00908425,0.00908425,0.00908425
76,1980.81,1.10522,0.58137,0.33651,0.35917,0.21227,0.18248,0.05923,1.00788,0.65841,0.46188,0.00907188,0.00907188,0.00907188
77,2006.55,1.07933,0.58525,0.32773,0.44642,0.24894,0.20937,0.0731,0.96995,0.6936,0.42663,0.0090595,0.0090595,0.0090595
78,2032.63,1.09774,0.58133,0.32453,0.50052,0.20851,0.20931,0.07824,0.95838,0.69827,0.43647,0.00904713,0.00904713,0.00904713
79,2058.39,1.10427,0.57327,0.33611,0.57194,0.25745,0.24908,0.08295,0.99295,0.63872,0.42817,0.00903475,0.00903475,0.00903475
80,2085.23,1.117,0.55194,0.345,0.40689,0.22128,0.21291,0.06245,1.04376,0.63897,0.45975,0.00902238,0.00902238,0.00902238
81,2111.18,1.11521,0.58451,0.33006,0.44868,0.23404,0.22494,0.07734,0.98157,0.70875,0.41723,0.00901,0.00901,0.00901
82,2137.05,1.07606,0.61077,0.32644,0.58527,0.25522,0.24529,0.08062,0.9776,0.69096,0.43653,0.00899762,0.00899762,0.00899762
83,2163.11,1.11608,0.5974,0.32642,0.40543,0.18936,0.17418,0.05315,1.01572,0.66905,0.43257,0.00898525,0.00898525,0.00898525
84,2188.82,1.06867,0.61821,0.31056,0.57812,0.2766,0.29261,0.10567,0.91092,0.71862,0.41681,0.00897287,0.00897287,0.00897287
85,2215.81,1.06615,0.59766,0.30913,0.5794,0.26379,0.28556,0.10849,0.91772,0.69712,0.42022,0.0089605,0.0089605,0.0089605
86,2242.75,1.0489,0.60805,0.30606,0.50789,0.30213,0.29445,0.11133,0.94938,0.64163,0.4086,0.00894812,0.00894812,0.00894812
87,2269.72,1.07067,0.59997,0.31133,0.45392,0.23404,0.23604,0.08526,0.96381,0.71757,0.415,0.00893575,0.00893575,0.00893575
88,2295.19,1.0526,0.61544,0.30296,0.59059,0.3,0.31831,0.12322,0.90025,0.69575,0.39799,0.00892338,0.00892338,0.00892338
89,2321.76,1.01237,0.6107,0.29326,0.47336,0.25532,0.27423,0.09934,0.90065,0.73013,0.39723,0.008911,0.008911,0.008911
90,2347.49,1.02567,0.59756,0.29437,0.61844,0.33191,0.35513,0.1299,0.90631,0.67855,0.3996,0.00889863,0.00889863,0.00889863
91,2373.97,1.02318,0.62066,0.29194,0.47339,0.27159,0.24597,0.09687,0.9382,0.70181,0.4352,0.00888625,0.00888625,0.00888625
92,2399.82,1.04374,0.60634,0.29344,0.55729,0.22553,0.22989,0.07363,0.9953,0.67431,0.43841,0.00887387,0.00887387,0.00887387
93,2425.61,1.09305,0.5773,0.29575,0.45703,0.26383,0.24729,0.07919,0.97032,0.6423,0.39881,0.0088615,0.0088615,0.0088615
94,2451.55,1.02331,0.57494,0.28447,0.61524,0.34022,0.36974,0.13719,0.90309,0.65272,0.38716,0.00884912,0.00884912,0.00884912
95,2478.38,1.00921,0.60511,0.27245,0.25812,0.21838,0.16449,0.04832,1.00895,0.68678,0.4056,0.00883675,0.00883675,0.00883675
96,2504.37,1.02715,0.62497,0.28215,0.46177,0.28842,0.27193,0.09617,0.90595,0.70597,0.37289,0.00882438,0.00882438,0.00882438
97,2529.9,0.97135,0.62053,0.26397,0.60445,0.30213,0.32721,0.13105,0.88873,0.68021,0.39061,0.008812,0.008812,0.008812
98,2556.2,0.97805,0.5787,0.26156,0.654,0.28511,0.31467,0.13047,0.90228,0.68625,0.41198,0.00879963,0.00879963,0.00879963
99,2582.62,1.00911,0.59756,0.26622,0.46155,0.27872,0.27008,0.09786,0.92998,0.6753,0.3877,0.00878725,0.00878725,0.00878725
100,2608.3,0.96874,0.60802,0.26665,0.56402,0.31915,0.32771,0.10998,0.9353,0.64496,0.37901,0.00877487,0.00877487,0.00877487
101,2635.05,0.98176,0.59263,0.26488,0.6025,0.34043,0.34991,0.13759,0.90413,0.66304,0.38517,0.0087625,0.0087625,0.0087625
102,2661.27,0.97536,0.60657,0.25749,0.54378,0.32715,0.33301,0.13088,0.88842,0.68634,0.37821,0.00875013,0.00875013,0.00875013
103,2686.95,0.96402,0.59029,0.25636,0.59374,0.34681,0.35525,0.13448,0.91267,0.63719,0.38601,0.00873775,0.00873775,0.00873775
104,2713.64,0.96333,0.60574,0.25766,0.58659,0.34255,0.35628,0.13265,0.90042,0.66134,0.3575,0.00872538,0.00872538,0.00872538
105,2740.3,1.02419,0.58459,0.25706,0.60097,0.37872,0.37936,0.15754,0.8606,0.67006,0.36021,0.008713,0.008713,0.008713
106,2768.57,0.95542,0.59187,0.2473,0.61242,0.3766,0.38628,0.16313,0.87122,0.63686,0.37313,0.00870063,0.00870063,0.00870063
107,2796.3,0.99151,0.57294,0.25214,0.63706,0.2913,0.3061,0.1193,0.97712,0.65075,0.42112,0.00868825,0.00868825,0.00868825
108,2823.54,0.96649,0.58754,0.25629,0.58953,0.36383,0.37332,0.14095,0.89656,0.63385,0.36668,0.00867587,0.00867587,0.00867587
109,2849.99,0.95097,0.59195,0.24693,0.62378,0.34571,0.37124,0.14843,0.90407,0.63411,0.37629,0.0086635,0.0086635,0.0086635
110,2877.34,0.94165,0.60615,0.22838,0.72292,0.36596,0.41058,0.17447,0.85141,0.67008,0.33039,0.00865113,0.00865113,0.00865113
111,2905.28,0.93853,0.60014,0.23412,0.69769,0.34894,0.38664,0.16675,0.83226,0.69862,0.36145,0.00863875,0.00863875,0.00863875
112,2931.68,0.92561,0.60266,0.23631,0.58649,0.33191,0.33636,0.12285,0.88843,0.68121,0.35327,0.00862638,0.00862638,0.00862638
113,2958.99,0.95078,0.5849,0.22616,0.69305,0.41702,0.44291,0.18345,0.83435,0.64152,0.33803,0.008614,0.008614,0.008614
114,2986.98,0.95755,0.58467,0.23569,0.69168,0.39149,0.41107,0.1607,0.85966,0.64653,0.33626,0.00860162,0.00860162,0.00860162
115,3013.51,0.8766,0.60752,0.216,0.62646,0.43177,0.42432,0.16086,0.85844,0.64717,0.33269,0.00858925,0.00858925,0.00858925
116,3040.69,0.97625,0.60431,0.23972,0.67895,0.37346,0.40086,0.1735,0.82336,0.68535,0.33296,0.00857687,0.00857687,0.00857687
117,3067.77,0.95027,0.60495,0.22659,0.59299,0.39574,0.40677,0.16351,0.85576,0.66171,0.32718,0.0085645,0.0085645,0.0085645
118,3094.74,0.94242,0.6036,0.22239,0.67581,0.41064,0.45653,0.21411,0.7847,0.69017,0.31342,0.00855213,0.00855213,0.00855213
119,3121.49,0.92151,0.60482,0.22318,0.64449,0.38571,0.41363,0.17238,0.87064,0.66258,0.35042,0.00853975,0.00853975,0.00853975
120,3147.38,0.94046,0.58151,0.21721,0.71198,0.41277,0.46055,0.19904,0.83022,0.63339,0.31873,0.00852738,0.00852738,0.00852738
121,3172.94,0.92589,0.59687,0.21916,0.69018,0.42128,0.44361,0.1939,0.81063,0.6722,0.34501,0.008515,0.008515,0.008515
122,3199.04,0.92868,0.59429,0.21761,0.72119,0.3137,0.39959,0.16207,0.84982,0.66638,0.32515,0.00850262,0.00850262,0.00850262
123,3224.88,0.92254,0.59281,0.21182,0.65188,0.38936,0.42798,0.16944,0.84624,0.64709,0.33866,0.00849025,0.00849025,0.00849025
124,3250.18,0.92415,0.58444,0.21405,0.73657,0.46383,0.51938,0.21463,0.7854,0.63777,0.31536,0.00847787,0.00847787,0.00847787
125,3276.59,0.88114,0.58165,0.21104,0.71611,0.46157,0.50317,0.21717,0.80525,0.65046,0.30842,0.0084655,0.0084655,0.0084655
126,3303.38,0.95019,0.57227,0.22255,0.73467,0.42766,0.48041,0.22487,0.76896,0.67061,0.29231,0.00845313,0.00845313,0.00845313
127,3329.79,0.912,0.60027,0.20469,0.72061,0.47234,0.50968,0.21905,0.79541,0.61926,0.29672,0.00844075,0.00844075,0.00844075
128,3355.56,0.86867,0.60481,0.21225,0.68983,0.4383,0.475,0.20519,0.80053,0.64707,0.29985,0.00842838,0.00842838,0.00842838
129,3381.13,0.86641,0.60776,0.20372,0.55956,0.3617,0.37891,0.12635,0.91849,0.66015,0.34538,0.008416,0.008416,0.008416
130,3406.91,0.8533,0.60773,0.2008,0.74204,0.45319,0.49929,0.22103,0.7725,0.65669,0.29652,0.00840362,0.00840362,0.00840362
131,3432.65,0.89289,0.57206,0.20022,0.71058,0.44468,0.48133,0.20599,0.80383,0.64996,0.32771,0.00839125,0.00839125,0.00839125
132,3458.34,0.86598,0.617,0.19965,0.66565,0.44043,0.491,0.21266,0.78575,0.65056,0.30165,0.00837887,0.00837887,0.00837887
133,3484.06,0.85277,0.62552,0.19518,0.80025,0.44894,0.50736,0.23158,0.76384,0.67533,0.30518,0.0083665,0.0083665,0.0083665
134,3510.71,0.86879,0.6125,0.19405,0.74096,0.45644,0.50669,0.22095,0.77617,0.65086,0.30661,0.00835413,0.00835413,0.00835413
135,3536.04,0.8264,0.61208,0.18838,0.71912,0.4617,0.49168,0.2055,0.79544,0.65134,0.32661,0.00834175,0.00834175,0.00834175
136,3561.38,0.84678,0.59551,0.19257,0.7196,0.47872,0.51471,0.24716,0.76035,0.64152,0.29594,0.00832937,0.00832937,0.00832937
137,3587.54,0.87541,0.58632,0.19812,0.49115,0.2383,0.2105,0.07597,1.19518,0.60698,0.58874,0.008317,0.008317,0.008317
138,3613.73,0.8698,0.61369,0.18736,0.68516,0.41673,0.45656,0.1974,0.83811,0.63461,0.31699,0.00830462,0.00830462,0.00830462
139,3639.27,0.91994,0.57731,0.20177,0.64926,0.37023,0.43582,0.16116,0.81477,0.70071,0.29873,0.00829225,0.00829225,0.00829225
140,3665.21,0.82849,0.63151,0.17837,0.65506,0.43617,0.494,0.2168,0.7897,0.65181,0.28332,0.00827988,0.00827988,0.00827988
141,3691.3,0.8576,0.58782,0.19037,0.7537,0.47528,0.53078,0.26184,0.71369,0.66403,0.27039,0.0082675,0.0082675,0.0082675
142,3717.4,0.85795,0.58507,0.18964,0.77567,0.42979,0.52033,0.24252,0.7646,0.66456,0.27629,0.00825513,0.00825513,0.00825513
143,3743.17,0.85478,0.57865,0.18847,0.7193,0.50161,0.52804,0.25137,0.74568,0.66493,0.30208,0.00824275,0.00824275,0.00824275
144,3768.69,0.83985,0.59194,0.17986,0.73612,0.45319,0.504,0.23552,0.76663,0.64445,0.31263,0.00823038,0.00823038,0.00823038
145,3794.39,0.91141,0.58421,0.19435,0.74043,0.4617,0.51301,0.24926,0.77642,0.64255,0.29379,0.008218,0.008218,0.008218
146,3820.31,0.90768,0.59461,0.19713,0.75158,0.44415,0.50334,0.27219,0.69895,0.71813,0.27006,0.00820562,0.00820562,0.00820562
147,3846.81,0.90224,0.5824,0.19181,0.77145,0.47447,0.54487,0.25541,0.74281,0.6524,0.26255,0.00819325,0.00819325,0.00819325
148,3872.92,0.90928,0.56941,0.19228,0.77165,0.48298,0.55614,0.2606,0.74841,0.6276,0.26001,0.00818088,0.00818088,0.00818088
